player_name,team,position,actual_rating,predicted_rating,rating_difference
Granit Xhaka,Bayer Leverkusen,Midfielder,6.0406982123854815,5.488165486365971,-0.5525327260195105
Angelo Stiller,VfB Stuttgart,Midfielder,5.487758371413192,5.185018290243007,-0.30274008117018525
Exequiel Alejandro Palacios,Bayer Leverkusen,Midfielder,5.469491240230563,5.142331055030454,-0.3271601852001087
Atakan Karazor,VfB Stuttgart,Midfielder,5.235949619032247,4.48084868430269,-0.7551009347295574
Leroy Sané,Bayern Munich,Midfielder,4.297366593746083,4.389652490473499,0.09228589672741627
Florian Wirtz,Bayer Leverkusen,Midfielder,4.452019789074117,4.3404536208502735,-0.11156616822384358
Kevin Stöger,Bochum,Midfielder,4.130302732484242,4.185278581268875,0.05497584878463346
Eric Dier,Bayern Munich,Defender,4.241519713570992,4.087999897978692,-0.15351981559229966
Romano Schmid,Werder Bremen,Midfielder,3.894084962348904,3.9463927613907916,0.05230779904188765
Robert Andrich,Bayer Leverkusen,Defender,3.706786029281286,3.9109551104816016,0.20416908120031563
Willi Orban,RB Leipzig,Defender,3.6450560038500712,3.759810701103408,0.11475469725333687
Kevin Vogt,Hoffenheim,Defender,3.4197252690666122,3.741190678412333,0.32146540934572077
Min Jae Kim,Bayern Munich,Defender,3.667010845260995,3.7183563697335216,0.051345524472526716
Leonardo Bittencourt,Werder Bremen,Midfielder,4.245764004587506,3.69526792070404,-0.5504960838834658
Florian Wirtz,Bayer Leverkusen,Forward,3.4459450358412878,3.5856688835212633,0.1397238476799756
Leon Goretzka,Bayern Munich,Midfielder,3.7140436533687393,3.578561239573192,-0.13548241379554726
Mario Götze,Eintracht Frankfurt,Midfielder,3.6964884330992733,3.5330934740910642,-0.1633949590082091
Jonas Hofmann,Bayer Leverkusen,Midfielder,3.5574344318195408,3.466186464612603,-0.09124796720693773
Dan-Axel Zagadou,VfB Stuttgart,Defender,3.2381821854017017,3.4592930852315136,0.2211108998298119
Aleksandar Pavlović,Bayern Munich,Midfielder,3.873037688454512,3.396439637055345,-0.4765980513991672
Enzo Millot,VfB Stuttgart,Midfielder,3.5019047135170505,3.3882809412656036,-0.11362377225144682
Nadiem Amiri,FSV Mainz 05,Midfielder,3.682585694515238,3.2804182462514935,-0.40216744826374473
Finn Ole Becker,Hoffenheim,Midfielder,3.451591559818223,3.2782679548631313,-0.1733236049550917
Serhou Guirassy,VfB Stuttgart,Forward,2.980402467721938,3.1608188692925268,0.1804164015705889
Joshua Kimmich,Bayern Munich,Midfielder,3.328003925474324,3.151217150075442,-0.17678677539888232
Kouadio Emmanuel Koné,Borussia Mönchengladbach,Midfielder,3.3076640850565204,3.14448041166857,-0.16318367338795037
Xaver Schlager,RB Leipzig,Midfielder,3.141866124333995,3.1257694790682775,-0.016096645265717413
Julian Weigl,Borussia Mönchengladbach,Midfielder,4.0705334501176615,3.117548674907188,-0.9529847752104734
Noussair Mazraoui,Bayern Munich,Defender,2.8116055109145863,3.1026346460590624,0.29102913514447604
Dayotchanculle Upamecano,Bayern Munich,Defender,2.9638015633689525,3.101614585825532,0.13781302245657967
Dominik Kohr,FSV Mainz 05,Midfielder,3.5219286112432964,3.0953059343123557,-0.4266226769309407
Julian Brandt,Borussia Dortmund,Midfielder,3.161379117522708,3.077953831004288,-0.08342528651842018
Christian Groß,Werder Bremen,Defender,3.1546302869684255,3.0712148022807786,-0.08341548468764692
Maximilian Arnold,Wolfsburg,Midfielder,3.186305660873564,3.0616425194416648,-0.12466314143189905
Waldemar Anton,VfB Stuttgart,Defender,2.9164458271047957,3.04269188367304,0.1262460565682444
Jens Stage,Werder Bremen,Midfielder,3.1678850360733346,3.013082581251725,-0.15480245482160981
Deniz Undav,VfB Stuttgart,Midfielder,3.008848268641394,3.000904961120989,-0.007943307520405174
Lennard Maloney,FC Heidenheim,Midfielder,3.0432903944871867,2.9839338078535773,-0.05935658663360943
Edmond Fayçal Tapsoba,Bayer Leverkusen,Defender,2.944045476434531,2.9747959572209037,0.03075048078637277
Tomáš Čvančara,Borussia Mönchengladbach,Forward,2.5252884902067554,2.9676020018263363,0.4423135116195809
Jonathan Tah,Bayer Leverkusen,Defender,2.9781383644745953,2.9603713948201,-0.017766969654495313
Florian Kainz,FC Köln,Midfielder,3.094983915996333,2.9447168707509572,-0.15026704524537582
Emre Can,Borussia Dortmund,Midfielder,2.772492401771143,2.9044802747275007,0.1319878729563575
Senne Lynen,Werder Bremen,Midfielder,2.893511729601711,2.9041434622349733,0.010631732633262114
Anton Stach,Hoffenheim,Midfielder,3.015527309877142,2.8831342467574133,-0.13239306311972854
Leandro Barreiro Martins,FSV Mainz 05,Midfielder,2.880769384496383,2.880010612360312,-0.0007587721360708954
Dejan Ljubicic,FC Köln,Midfielder,2.976573689297588,2.8567454734873974,-0.11982821581019065
Alejandro Grimaldo García,Bayer Leverkusen,Defender,2.488212802535654,2.8491559097446153,0.3609431072089615
Alphonso Davies,Bayern Munich,Defender,2.690714068296598,2.8461714086847976,0.15545734038819958
Tim Skarke,Darmstadt 98,Midfielder,2.625765797682542,2.845925883550704,0.22016008586816183
Jae-Sung Lee,FSV Mainz 05,Midfielder,3.0393255750838404,2.834462500278243,-0.2048630748055973
Jonas Hofmann,Bayer Leverkusen,Forward,2.765657452487816,2.8332218439280497,0.06756439144023352
Hiroki Ito,VfB Stuttgart,Defender,2.624440322772051,2.7900236198707544,0.16558329709870323
Odilon Kossonou,Bayer Leverkusen,Defender,2.6826122512316846,2.7663855946202074,0.08377334338852283
Robert Andrich,Bayer Leverkusen,Midfielder,3.007920347861589,2.738358344842303,-0.2695620030192858
Mohamed Simakan,RB Leipzig,Defender,2.646913427205813,2.7163537971024034,0.06944036989659041
Anthony Jung,Werder Bremen,Defender,2.7437330647162352,2.708307695267467,-0.03542536944876806
Alassane Pléa,Borussia Mönchengladbach,Forward,2.5453590684288705,2.707505089965524,0.1621460215366537
Edimilson Fernandes,FSV Mainz 05,Defender,2.63828213934806,2.6963375418648083,0.058055402516748345
Yannick Gerhardt,Wolfsburg,Midfielder,2.76973011417844,2.6961185213963983,-0.07361159278204177
Konrad Laimer,Bayern Munich,Defender,3.1751426763846013,2.6791119034693027,-0.4960307729152986
Lucas Silva Melo,Eintracht Frankfurt,Defender,2.625655767014649,2.6603382707728302,0.03468250375818105
Karim Onisiwo,FSV Mainz 05,Forward,2.369464977971421,2.6582856740737784,0.2888206961023574
Nicolas Seiwald,RB Leipzig,Midfielder,2.6357068595112243,2.6402239849915095,0.004517125480285156
Milos Veljkovic,Werder Bremen,Defender,2.571421326352414,2.618117060303023,0.046695733950608886
Florian Neuhaus,Borussia Mönchengladbach,Midfielder,2.619198232163341,2.6142959224562783,-0.004902309707062624
Niklas Dorsch,Augsburg,Midfielder,2.624931726318284,2.604106199195245,-0.020825527123038867
