player_id,match_id,player_name,total_passes,total_shots,total_dribbles,total_interceptions,total_duels,total_fouls_won,total_ball_receipts,total_miscontrols,total_dispossessions,total_errors,total_pressures,total_fouls_committed,total_50-50s,total_clearances,total_dribbled_past,successful_passes,unsuccessful_passes,successful_dribbles,unsuccessful_dribbles,goal_assists,shot_assists,total_xg,goals_scored,unsuccessful_shots,duels_won,duels_lost,clearances,position_code,position,team,event_count,position_category,player_rating,normalized_rating
9195.0,3895348,Robert Andrich,91,4,4,0,3,0,87,0,1,0,14,1,0,1,0,86,5,3,1,0,2,0.44954254899999996,1,2,3,0,1,9.0,Right Defensive Midfield,Bayer Leverkusen,302,Midfielder,235.44817019599998,6.24161284631595
27133.0,3895348,Odilon Kossonou,117,0,2,0,2,1,101,0,1,0,7,0,0,1,0,115,2,1,1,0,0,0.0,0,0,2,0,1,3.0,Right Center Back,Bayer Leverkusen,346,Defender,185.5,4.917511917921368
28268.0,3895348,Exequiel Alejandro Palacios,72,0,2,0,3,3,70,0,1,0,16,1,0,1,1,66,6,1,1,0,True,0.0,0,0,2,0,1,11.0,Left Defensive Midfield,Bayer Leverkusen,246,Midfielder,184.0,4.877747670606641
8804.0,3895348,Jonas Hofmann,66,4,0,0,0,0,64,3,0,0,13,0,0,0,0,59,7,0,0,0,3,0.192856276,0,2,0,0,0,18.0,Right Attacking Midfield,Bayer Leverkusen,213,Midfielder,165.171425104,4.378611598107692
30606.0,3895348,Edmond Fayçal Tapsoba,100,0,1,0,4,0,86,0,1,0,13,1,0,4,0,92,8,1,0,0,0,0.0,0,0,0,1,4,5.0,Left Center Back,Bayer Leverkusen,303,Defender,156.5,4.148736469836627
8221.0,3895348,Jonathan Tah,85,1,1,0,1,0,74,1,0,0,8,1,0,0,0,81,4,1,0,0,0,0.05129539,0,0,0,0,0,4.0,Center Back,Bayer Leverkusen,256,Defender,129.10259078,3.4224448991653666
9198.0,3895348,Niklas Dorsch,45,1,0,0,0,2,45,0,2,0,11,0,0,2,1,43,2,0,0,0,True,0.034268443,0,1,0,0,2,15.0,Left Center Midfield,Augsburg,160,Midfielder,118.087073772,3.1304290707615627
12411.0,3895348,Arne Maier,45,0,0,0,1,0,42,0,1,0,20,0,0,2,1,32,13,0,0,True,0,0.0,0,0,1,0,2,13.0,Right Center Midfield,Augsburg,154,Midfielder,117.9,3.125469838937625
33401.0,3895348,Amine Adli,36,1,2,0,2,3,44,1,2,0,16,0,0,2,1,31,5,1,1,True,True,0.058906764,0,0,1,1,2,20.0,Left Attacking Midfield,Bayer Leverkusen,153,Midfielder,113.435627056,3.007121552370694
24442.0,3895348,Mads Pedersen,51,0,1,0,7,1,39,0,0,1,16,3,0,2,0,47,4,1,0,0,0,0.0,0,0,2,4,2,2.0,Right Back,Augsburg,164,Defender,87.0,2.306326344254227
8318.0,3895348,Jeffrey Gouweleeuw,54,0,1,0,1,0,46,0,0,0,8,0,0,5,1,47,7,0,1,0,2,0.0,0,0,1,0,5,3.0,Right Center Back,Augsburg,163,Defender,86.0,2.279816846044408
316237.0,3895348,Mert Kömür,17,1,2,0,2,1,26,0,2,0,20,0,0,0,1,16,1,0,2,0,0,0.10435216,1,0,1,1,0,19.0,Center Attacking Midfield,Augsburg,97,Midfielder,82.91740864,2.1980988959048857
3500.0,3895348,Granit Xhaka,31,2,0,0,0,1,28,0,0,0,2,0,0,0,0,28,3,0,0,0,True,0.092719968,0,1,0,0,0,9.0,Right Defensive Midfield,Bayer Leverkusen,98,Midfielder,68.470879872,1.8151286673914953
8245.0,3895348,Felix Uduokhai,40,0,0,0,3,0,36,0,0,0,8,1,0,5,0,34,6,0,0,0,0,0.0,0,0,1,1,5,5.0,Left Center Back,Augsburg,139,Defender,67.5,1.7893911291627622
10336.0,3895348,Alejandro Grimaldo García,46,0,0,0,2,0,41,1,0,0,6,1,0,1,0,39,7,0,0,0,True,0.0,0,0,1,1,1,8.0,Left Wing Back,Bayer Leverkusen,136,Defender,67.0,1.776136380057853
6874.0,3895348,Ermedin Demirović,19,4,0,0,4,1,34,3,1,0,24,1,0,0,3,13,6,0,0,0,0,0.226136871,0,3,0,0,0,22.0,Right Center Forward,Augsburg,117,Forward,65.530684355,1.7371855595970669
32712.0,3895348,Jeremie Frimpong,40,1,4,0,0,0,42,2,1,0,6,0,0,1,0,33,7,2,2,0,2,0.081525005,0,1,0,0,1,7.0,Right Wing Back,Bayer Leverkusen,145,Defender,58.16305001,1.5418732701176905
32289.0,3895348,Victor Okoh Boniface,19,2,3,0,1,0,29,2,2,0,7,1,0,0,0,15,4,2,1,0,0,0.8074633640000001,1,0,0,0,0,23.0,Center Forward,Bayer Leverkusen,93,Forward,57.93731682,1.535889196521489
51825.0,3895348,Tim Breithaupt,21,0,0,0,0,0,16,1,0,0,11,2,0,0,2,20,1,0,0,0,0,0.0,0,0,0,0,0,10.0,Center Defensive Midfield,Augsburg,80,Midfielder,55.8,1.4792300001078833
25118.0,3895348,Iago Amaral Borduchi,33,1,2,0,2,1,28,3,0,0,14,0,0,0,3,30,3,0,2,0,0,0.046394035,0,1,1,0,0,6.0,Left Back,Augsburg,131,Defender,55.09278807,1.460482166715586
9221.0,3895348,Phillip Tietz,25,0,1,0,0,0,34,2,2,0,9,1,0,1,0,16,9,1,0,0,True,0.0,0,0,0,0,1,24.0,Left Center Forward,Augsburg,104,Forward,54.0,1.4315129033302099
40724.0,3895348,Florian Wirtz,14,3,2,0,1,0,20,1,2,0,9,1,0,0,0,13,1,0,2,0,2,0.200013376,0,2,0,1,0,20.0,Left Attacking Midfield,Bayer Leverkusen,79,Midfielder,53.500053504,1.4182595725894926
40167.0,3895348,Arne Engels,19,1,0,0,2,0,18,0,0,0,8,1,0,2,1,17,2,0,0,0,0,0.082670294,0,1,1,1,2,15.0,Left Center Midfield,Augsburg,72,Midfielder,53.130681175999996,1.40846769752162
8667.0,3895348,Lukáš Hrádecký,23,0,0,0,0,0,15,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0.0,0,0,0,0,0,1.0,Goalkeeper,Bayer Leverkusen,70,Goalkeeper,33.0,0.8748134409240171
3428.0,3895348,Tomáš Koubek,34,0,0,0,0,0,18,0,0,1,0,0,0,0,0,24,10,0,0,0,0,0.0,0,0,0,0,0,1.0,Goalkeeper,Augsburg,102,Goalkeeper,31.0,0.8217944445043797
38004.0,3895348,Piero Martín Hincapié Reyna,15,0,1,0,0,0,12,0,0,0,3,0,0,1,0,13,2,0,1,0,0,0.0,0,0,0,0,1,8.0,Left Wing Back,Bayer Leverkusen,46,Defender,24.0,0.6362279570356488
7044.0,3895348,Patrik Schick,5,2,0,0,0,1,11,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0.230597712,0,2,0,0,0,23.0,Center Forward,Bayer Leverkusen,28,Forward,22.15298856,0.5872646105734541
24319.0,3895348,Pep Biel Mas Jaume,3,2,0,0,1,0,6,0,0,0,7,0,0,0,0,2,1,0,0,0,0,0.286509966,0,1,0,1,0,19.0,Center Attacking Midfield,Augsburg,22,Midfielder,21.246039864,0.5632218557404447
49337.0,3895348,Josip Stanišić,11,0,0,0,0,0,12,0,0,0,0,0,0,2,0,11,0,0,0,0,True,0.0,0,0,0,0,2,7.0,Right Wing Back,Bayer Leverkusen,35,Defender,19.5,0.5169352150914647
9227.0,3895348,Sven Michel,7,0,0,0,4,0,9,1,0,0,6,0,0,0,0,2,5,0,0,0,True,0.0,0,0,3,0,0,24.0,Left Center Forward,Augsburg,36,Forward,15.1,0.40029342296826237
316245.0,3895348,Mahmut Kücüksahin,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0,0,0,0,0,0,13.0,Right Center Midfield,Augsburg,13,Midfielder,9.75,0.25846760754573234
40995.0,3895348,Dion Drena Beljo,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,22.0,Right Center Forward,Augsburg,4,Forward,3.5,0.09278324373436544
3500.0,3895340,Granit Xhaka,86,3,0,0,1,0,83,0,1,0,1,0,0,1,0,79,7,0,0,0,True,0.144107994,0,1,0,0,1,11.0,Left Defensive Midfield,Bayer Leverkusen,257,Midfielder,184.826431976,4.89965596759495
12303.0,3895340,Kevin Stöger,64,1,1,0,4,3,59,1,2,0,18,1,0,0,0,51,13,0,1,0,True,0.038659126,0,1,1,3,0,19.0,Center Attacking Midfield,Bochum,216,Midfielder,155.804636504,4.130302732484242
9195.0,3895340,Robert Andrich,70,2,1,0,2,1,59,0,0,0,5,1,2,0,0,61,9,1,0,0,6,0.09708438999999999,0,2,0,0,0,9.0,Right Defensive Midfield,Bayer Leverkusen,205,Midfielder,154.13833756,4.086129983611251
30606.0,3895340,Edmond Fayçal Tapsoba,105,2,2,0,3,0,95,0,1,0,6,0,0,0,0,96,9,1,1,0,True,0.17691743000000001,0,2,1,1,0,5.0,Left Center Back,Bayer Leverkusen,312,Defender,152.85383486,4.0520784615850935
8221.0,3895340,Jonathan Tah,73,1,0,0,3,0,61,0,2,0,1,1,0,6,0,69,4,0,0,0,0,0.025919521,0,1,1,1,6,4.0,Center Back,Bayer Leverkusen,222,Defender,114.551839042,3.0367117720153387
49337.0,3895340,Josip Stanišić,59,1,4,0,5,1,46,1,1,0,7,0,0,1,0,52,7,3,1,True,2,0.043656476,1,0,2,1,1,7.0,Right Wing Back,Bayer Leverkusen,191,Defender,93.087312952,2.467697956057877
27133.0,3895340,Odilon Kossonou,58,1,1,0,2,0,55,0,1,0,1,1,1,6,0,53,5,0,1,0,True,0.023349753,0,1,0,0,6,3.0,Right Center Back,Bayer Leverkusen,183,Defender,88.546699506,2.347328572039661
41411.0,3895340,Nathan Tella,24,0,4,0,3,3,40,1,2,0,9,1,0,1,1,24,0,1,3,0,0,0.0,0,0,1,1,1,17.0,Right Wing,Bayer Leverkusen,121,Forward,70.9,1.879523423076146
196651.0,3895340,Arthur Augusto de Matos Soares,45,1,3,0,4,0,38,2,0,0,6,2,1,2,0,41,4,1,2,2,2,0.010973065,0,1,0,1,2,8.0,Left Wing Back,Bayer Leverkusen,151,Defender,69.02194613,1.8297371573714378
7044.0,3895340,Patrik Schick,13,5,0,0,3,1,37,2,6,0,7,1,1,0,0,13,0,0,0,0,0,0.379899582,1,3,1,1,0,23.0,Center Forward,Bayer Leverkusen,99,Forward,66.29949791,1.7575664211570237
133208.0,3895340,Patrick Osterhage,24,0,2,0,0,3,27,3,3,0,5,0,4,3,0,22,2,1,1,0,0,0.0,0,0,0,0,3,11.0,Left Defensive Midfield,Bochum,109,Midfielder,63.85,1.692631460696924
32289.0,3895340,Victor Okoh Boniface,14,4,2,0,1,0,30,3,1,0,9,2,0,1,0,12,2,0,2,0,0,1.076389114,1,1,0,0,1,21.0,Left Wing,Bayer Leverkusen,83,Forward,59.48194557,1.5768365296044484
23351.0,3895340,Keven Schlotterbeck,33,0,2,0,7,2,29,1,1,0,11,2,0,3,1,26,7,1,1,0,True,0.0,0,0,3,2,3,5.0,Left Center Back,Bochum,123,Defender,57.0,1.511041397959666
